TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
DEXP3;8,03;6,64;6,06;0,92;0,56;19,36;12,74;7,96;3,79;3,52;-0,27;-0,07;0,48;1,27;-1,54;3,28;15,16;9,26;13,03;0,61;0,39;1,16;17,81;42,04;737.982,00;8,70;1,32;-0,30;873.388.461,05
DEXP4;7,81;9,40;5,92;0,90;0,55;19,36;12,74;7,96;3,70;3,52;-0,27;-0,07;0,47;1,24;-1,50;3,28;15,16;9,26;13,03;0,61;0,39;1,16;17,81;42,04;45.995,63;8,70;1,32;-0,29;873.388.461,05
DIRR3;36,25;9,18;9,86;2,83;0,63;36,39;22,55;19,06;8,34;8,41;0,02;0,01;1,88;2,06;-1,15;3,03;28,71;6,34;17,90;0,22;0,78;0,33;18,09;44,74;53.697.691,21;12,82;3,68;0,11;6.296.315.000,00
DMMO3;1,76;;3,09;0,41;0,02;45,67;4,75;3,87;2,52;2,52;;;0,12;4,72;-0,02;;13,29;0,62;;0,05;0,95;0,16;51,46;;;4,29;0,57;0,01;949.254.731,04
DMVF3;6,38;;12,45;0,36;0,18;30,62;2,93;1,20;5,09;4,77;-0,30;-0,02;0,15;4,36;-0,26;1,14;2,88;1,41;6,48;0,49;0,51;1,18;353,03;;452.000,79;17,72;0,51;0,59;321.834.075,12
DOHL3;5,90;;-41,56;0,65;0,46;22,38;-0,27;-1,70;-266,29;-279,37;-38,35;0,09;0,71;1,03;-1,04;4,88;-1,55;-1,10;-0,96;0,71;0,29;0,65;5,16;;190,53;9,14;-0,14;-2,75;403.952.251,50
DOHL4;3,90;;-27,47;0,43;0,30;22,38;-0,27;-1,70;-176,02;-279,37;-38,35;0,09;0,47;0,68;-0,69;4,88;-1,55;-1,10;-0,96;0,71;0,29;0,65;5,16;;3.995,63;9,14;-0,14;-1,82;403.952.251,50
DOTZ3;3,83;;-3,09;-0,21;0,26;82,32;-4,57;-10,70;-7,22;-13,00;-5,78;;0,33;-0,23;-0,40;0,24;-6,69;-8,47;3,98;-1,27;2,27;0,79;3,90;;36.605,58;-18,55;-1,24;0,04;50.877.398,28
DTCY3;3,62;;-12,09;-8,32;7,21;16,90;-52,60;-62,81;-14,43;-24,55;-0,60;;7,59;-18,79;-13,27;0,54;-68,81;-59,64;106,69;-0,87;1,87;0,95;-18,43;;446,84;-0,44;-0,30;0,02;66.874.326,12
DTCY4;62,60;;-209,00;-143,82;124,65;16,90;-52,60;-62,81;-249,57;-24,55;-0,60;;131,28;-325,00;-229,52;0,54;-68,81;-59,64;106,69;-0,87;1,87;0,95;-18,43;;;-0,44;-0,30;0,35;66.874.326,12
DXCO3;5,59;0,96;26,65;0,64;0,25;29,78;11,37;2,09;4,91;9,88;5,05;0,66;0,56;3,23;-0,35;1,39;2,40;0,95;5,60;0,40;0,60;0,45;10,44;-15,72;16.009.720,11;8,77;0,21;-0,34;4.595.170.977,60
EALT3;13,76;;4,65;1,05;0,50;29,66;17,91;11,79;3,06;4,19;1,07;0,37;0,55;8,65;-0,88;1,16;22,51;10,75;20,68;0,48;0,52;0,91;13,53;31,61;12.665,68;13,14;2,96;0,13;315.210.000,00
EALT4;14,26;;4,80;1,08;0,52;29,66;17,91;11,79;3,16;4,19;1,07;0,37;0,57;8,93;-0,91;1,16;22,51;10,75;20,68;0,48;0,52;0,91;13,53;31,61;183.755,89;13,14;2,96;0,14;315.210.000,00
ECOR3;7,10;2,74;5,47;1,34;0,17;39,59;35,68;9,16;1,40;6,00;4,59;4,38;0,50;-2,12;-0,20;0,67;24,50;3,09;11,45;0,13;0,87;0,34;20,09;;31.077.051,00;5,30;1,30;0,09;4.943.972.990,40
ECPR3;90,25;;-9,87;1,21;0,62;;;;-17,12;-17,09;0,08;-0,01;;174,62;-0,62;2,97;-12,28;-6,29;-7,36;0,51;0,49;0,00;;;;74,46;-9,14;0,14;171.908.947,31
ECPR4;90,74;;-9,92;1,22;0,62;;;;-17,21;-17,09;0,08;-0,01;;175,57;-0,63;2,97;-12,28;-6,29;-7,36;0,51;0,49;0,00;;;;74,46;-9,14;0,14;171.908.947,31
EEEL3;294,77;;5,48;1,00;0,36;54,78;48,10;25,00;2,85;5,92;3,06;1,07;1,37;7,78;-0,45;1,32;18,23;6,60;13,12;0,36;0,64;0,26;13,69;5,71;;295,23;53,83;-0,37;2.840.511.499,76
EEEL4;410,00;;7,62;1,39;0,50;54,78;48,10;25,00;3,96;5,92;3,06;1,07;1,90;10,82;-0,62;1,32;18,23;6,60;13,12;0,36;0,64;0,26;13,69;5,71;;295,23;53,83;-0,52;2.840.511.499,76
EGIE3;40,97;6,51;7,81;2,72;0,67;54,43;68,48;38,15;4,35;6,91;2,56;1,60;2,98;-448,00;-0,78;0,99;34,85;8,54;17,48;0,25;0,75;0,22;2,73;13,12;51.561.362,68;15,05;5,24;0,32;33.428.559.507,80
EKTR3;44,01;13,85;8,50;4,14;0,72;27,63;22,44;10,92;4,14;7,45;3,05;3,05;0,93;52,64;-1,03;1,05;48,71;8,48;17,80;0,17;0,83;0,78;6,85;19,34;0,00;10,63;5,18;0,70;9.531.865.221,63
EKTR4;53,87;12,44;10,41;5,07;0,88;27,63;22,44;10,92;5,06;7,45;3,05;3,05;1,14;64,43;-1,26;1,05;48,71;8,48;17,80;0,17;0,83;0,78;6,85;19,34;9.123,00;10,63;5,18;0,86;9.531.865.221,63
ELEK3;19,11;;24,46;2,66;1,07;11,39;2,82;2,53;21,94;38,76;5,75;0,70;0,62;3,75;-2,60;1,94;10,87;4,36;4,38;0,40;0,60;1,72;1,48;;;7,19;0,78;-0,35;905.051.916,30
ELEK4;36,99;;47,34;5,15;2,07;11,39;2,82;2,53;42,48;38,76;5,75;0,70;1,20;7,26;-5,02;1,94;10,87;4,36;4,38;0,40;0,60;1,72;1,48;;;7,19;0,78;-0,68;905.051.916,30
ELET3;43,57;1,98;9,69;0,82;0,35;44,89;55,37;25,83;4,52;6,35;1,79;0,33;2,50;3,06;-0,45;2,04;8,51;3,58;11,13;0,42;0,58;0,14;7,70;-0,60;345.285.448,11;52,88;4,50;0,08;101.595.214.001,60
ELET5;75,00;3,24;16,67;1,42;0,60;44,89;55,37;25,83;7,78;6,35;1,79;0,33;4,31;5,27;-0,77;2,04;8,51;3,58;11,13;0,42;0,58;0,14;7,70;-0,60;0,00;52,88;4,50;0,13;101.595.214.001,60
ELET6;47,48;3,84;10,56;0,90;0,38;44,89;55,37;25,83;4,92;6,35;1,79;0,33;2,73;3,34;-0,49;2,04;8,51;3,58;11,13;0,42;0,58;0,14;7,70;-0,60;64.581.144,32;52,88;4,50;0,08;101.595.214.001,60
ELMD3;30,64;;38,47;3,78;1,44;49,84;24,15;9,64;15,36;18,25;2,89;0,71;3,71;12,12;-2,02;1,70;9,83;3,74;9,80;0,38;0,62;0,39;32,00;52,51;6.514.205,16;8,10;0,80;0,55;4.403.321.616,24
ELPL3;8,31;;2,49;0,46;0,09;21,82;16,55;5,01;0,75;2,94;2,18;1,32;0,12;-0,82;-0,12;0,69;18,36;3,52;21,52;0,19;0,81;0,70;5,85;;;18,19;3,34;-0,06;2.485.315.360,74
EMAE3;70,00;1,09;47,26;2,18;1,24;33,02;-1,58;8,81;-262,67;-145,72;33,36;-0,28;4,16;4,79;-1,83;5,04;4,62;2,62;-0,97;0,57;0,43;0,30;7,20;-9,99;0,00;32,07;1,48;-0,74;1.763.130.044,86
